Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Flow Packets/s
1725076,2,2,294.4797794416,2.3187384208
257221,5,1,194.3853728895,23.3262447467
42888,1,1,3660.697631039,46.6330908413
13392194,10,11,173.0112332602,1.5680776428
214589,18,14,71457.5304419145,149.1222756059
31095,1,1,8940.3441067696,64.3190223509
152,2,2,1723684.21052632,26315.7894736842
259,2,2,1019305.01930502,15444.0154440154
330565,15,10,25293.0588537806,75.6280912982
219636,8,5,18817.4980422153,59.1888397166
59635,1,1,2079.3158380146,33.537352226
116269356,152,277,4253.0122898419,3.6897082323
94,1,1,0.0,21276.5957446809
74431,5,3,16431.3256573202,107.4820975131
23028,4,1,22450.9293034567,217.1269758555
87714,1,1,1960.9184394738,22.8013772032
3,2,0,4000000.0,666666.666666667
2151652,15,19,7565.3497870474,15.8018118172
30652,2,2,15985.9063030145,130.4971943103
70787,1,2,254.2839786967,42.3806631161
233,2,2,1399141.63090129,17167.3819742489
120370,1,1,2857.854947246,16.6154357398
3216140,3,3,0.0,1.8655904283
34166,4,4,20956.5064684189,234.1509102617
122380,3,1,49.027618892,32.6850792613
5482469,11,8,626.3601308097,3.4655918711
50755,2,2,6580.6324500049,78.8099694611
216,2,2,1037037.03703704,18518.5185185185
30771,1,1,5297.1954112639,64.9962627149
31007,2,2,10836.2627793724,129.0031283259
149,2,2,1073825.5033557,26845.6375838926
3,2,0,4000000.0,666666.666666667
76368,10,5,15608.6318877017,196.4173475801
64663,2,2,5041.5229729521,61.8591775822
30838,4,2,11349.6335689733,194.5651468967
273,2,1,157509.157509157,10989.010989011
50,3,0,360000.0,60000.0
20,1,1,600000.0,100000.0
3,2,0,4000000.0,666666.666666667
30649,1,1,3980.5540148129,65.2549838494
209,2,2,765550.23923445,19138.7559808612
1525,2,0,7868.8524590164,1311.4754098361
49810,1,1,2288.6970487854,40.1525798033
122137,10,4,14008.8589043451,114.6253796966
9504636,9,8,557.4121933759,1.788600847
31945,2,2,12584.1289716701,125.2152136485
61055,1,1,3619.6871673082,32.7573499304
30325554,6,5,31.5575438457,0.362730389
146,2,0,0.0,13698.6301369863
640,2,1,0.0,4687.5
21,1,1,571428.571428571,95238.0952380952
1418143,7,6,1523.1186135672,9.1669175817
39132,1,1,6235.3061433098,51.1090667484
105,1,1,0.0,19047.619047619
305,2,2,2996721.31147541,13114.7540983607
77,1,1,155844.155844156,25974.025974026
61167,4,2,8141.6450046594,98.0921084899
54,1,1,0.0,37037.037037037
201,2,2,1412935.32338308,19900.4975124378
157,2,2,1273885.35031847,25477.7070063694
68092662,2,2,2.8196870905,0.0587434811
5985307,9,4,612.3328343893,2.1719854972
2,2,0,308500000.0,1000000.0
205495,1,1,535.2928295092,9.7325969002
33,1,1,363636.363636364,60606.0606060606
215857,10,6,6972.2084528183,74.1231463423
244328,2,3,225.1072329,20.4642939
193,2,0,62176.1658031088,10362.6943005181
30988,2,2,8842.1324383632,129.0822253776
60875,2,2,4763.8603696099,65.7084188912
249847,2,1,0.0,12.0073484973
1095,2,0,10958.904109589,1826.4840182648
115074954,16,14,24.8968163828,0.260699648
23776,2,2,10346.5679676985,168.2368775236
23589,2,2,7969.816439866,169.5705625503
103,2,1,0.0,29126.213592233
138251,10,5,12173.5104990199,108.498311043
205128,27,38,240771.615771616,316.8753168753
30962,2,2,5555.1966927201,129.1906207609
290990,10,5,6979.6212928279,51.5481631671
31270,2,2,5756.315957787,127.9181323953
160,2,0,231250.0,12500.0
179,2,2,1631284.91620112,22346.3687150838
174,2,2,1252873.56321839,22988.5057471264
217110,12,8,36939.8001013311,92.1192022477
24809,2,2,5643.1133862711,161.2318110363
177,2,2,1468926.55367232,22598.8700564972
372,1,1,0.0,5376.3440860215
70741,1,1,2770.6704739826,28.2721476937
51545917,27,16,94.556470884,0.8342076832
103856,10,5,11487.0590047758,144.4307502696
79,1,1,151898.734177215,25316.4556962025
6033959,6,5,161.5854532654,1.8230153702
40,1,1,0.0,50000.0
134,2,2,1582089.55223881,29850.7462686567
87527,2,2,3450.3638877147,45.7001839432
28,1,1,428571.428571429,71428.5714285714
48211,2,2,5144.0542614756,82.9686171206
781836,5,8,6352.9947457012,16.6275280238
24813,2,2,6609.4386007335,161.2058195301
31043,1,1,5315.2079373772,64.4267628773
214498,1,1,955.7198668519,9.324096262
115211265,20,16,26.1345971681,0.3124694447
60559,1,1,2146.6668868376,33.0256444129
23203,1,1,5602.7237857174,86.1957505495
31829,2,2,9551.0383612429,125.6715573848
150,2,2,1880000.0,26666.6666666667
60745,2,2,5761.7910939172,65.8490410733
211,2,1,175355.450236967,14218.009478673
216,2,2,2629629.62962963,18518.5185185185
233,2,2,2609442.06008584,17167.3819742489
644,1,1,267080.745341615,3105.5900621118
66,1,1,181818.181818182,30303.0303030303
1118,2,2,289803.220035778,3577.8175313059
78445,8,5,51042.1314296641,165.7212059405
2394,2,0,0.0,835.4218880535
11528308,2,2,32.094909331,0.3469719928
48,1,1,0.0,41666.6666666667
1129760,13,9,6356.2172496814,19.4731624416
31367,2,2,7651.3533331208,127.522555552
2,2,0,18500000.0,1000000.0
259,2,2,1868725.86872587,15444.0154440154
119410,4,2,4605.9793987103,50.2470479859
48489,2,2,10641.5888139578,82.4929365423
48933,2,2,3351.5214681299,81.7444260519
361,2,2,542936.288088643,11080.3324099723
118217051,22,25,60.2112803508,0.3975737815
90273455,3,3,0.398788326,0.066464721
52,1,1,0.0,38461.5384615385
403028,10,6,5595.1447542106,39.6994749744
91027,4,2,4482.1866039747,65.914508882
405,2,2,612345.679012346,9876.5432098766
27,2,0,444444.444444444,74074.0740740741
115282189,16,14,13.6534534402,0.2602310058
43856332,2,2,12.1989226094,0.091206898
4,3,0,10750000.0,750000.0
35964,1,1,0.0,55.6111667223
345,2,2,2649275.36231884,11594.2028985507
8557,2,0,701.1803202057,233.7267734019
4120181,5,1,41.0176154883,1.4562467037
3,2,0,12333333.3333333,666666.666666667
30355065,6,8,126.1733420765,0.4612080389
185380,10,6,20536.1959218902,86.3092027187
61980,2,2,13068.7318489835,64.5369474024
52,1,1,0.0,38461.5384615385
181,2,2,2187845.3038674,22099.4475138122
60,2,0,200000.0,33333.3333333333
261,2,2,2145593.8697318,15325.6704980843
71954510,2,2,7.602025224,0.0555906781
454,1,1,469162.995594714,4405.2863436123
234,2,2,982905.982905983,17094.0170940171
91,2,0,131868.131868132,21978.021978022
5407723,3,1,0.0,0.7396828573
322213,10,5,3938.3885814663,46.5530565185
185,2,2,2335135.13513514,21621.6216216216
3,2,0,9000000.0,666666.666666667
224,2,2,2375000.0,17857.1428571429
204,2,2,1019607.84313725,19607.8431372549
83527,5,3,27152.8966681432,95.7774132915
47355,2,2,8024.4958293739,84.4683771513
125846,20,25,4863.0866296903,357.5798992419
72,1,1,0.0,27777.7777777778
40,1,1,300000.0,50000.0
117892988,16,12,41.3001662151,0.2375035231
142,2,2,1408450.70422535,28169.014084507
104904803,2,2,3.2505661347,0.038129808
3,2,0,4000000.0,666666.666666667
4,2,1,4500000.0,750000.0
105611,2,2,3295.1113046936,37.8748425827
3,2,0,4000000.0,666666.666666667
23838,1,1,7383.1697290041,83.8996560114
226,2,2,1185840.7079646,17699.1150442478
73972,3,5,36635.4836965338,108.1490293625
30358,1,1,9750.3129323407,65.8804927861
46962,2,2,7878.7104467442,85.1752480729
3,2,0,4000000.0,666666.666666667
3,2,0,12333333.3333333,666666.666666667
185,3,0,232432.432432432,16216.2162162162
61042375,18,16,115.8867098471,0.5569901237
4,2,0,10750000.0,500000.0
68092694,2,2,2.8196857654,0.0587434534
10439114,10,10,866.1654619348,1.9158714044
23727,1,1,9356.4293842458,84.2921566148
147,2,2,1442176.8707483,27210.8843537415
30753,2,2,10210.3859786037,130.0686111924
30988,2,2,9293.9202271847,129.0822253776
31263,2,2,6525.2854812398,127.946774142
79,1,1,0.0,25316.4556962025
173205,1,1,998.8164313963,11.5470107676
63181005,2,2,4.7640900932,0.0633101674
30473,1,1,3741.0166376793,65.6318708365
8550515,12,9,1389.0391397477,2.4559924168
456405,5,2,1763.7843581907,15.3372552886
260567,10,5,3872.3245844639,57.5667678563
6189437,8,7,261.4131139876,2.4234837514
8866,2,0,0.0,225.5808707422
16,3,0,1937500.0,187500.0
175027,10,5,13157.9699132134,85.7010632645
251392,2,2,1257.0010183299,15.9114052953
61002,2,2,7803.0228517098,65.5716206026
115219789,17,15,21.6282291578,0.2777300694
71,1,1,0.0,28169.014084507
118742644,33,23,103.8380112203,0.4716081613
5790332,10,7,1033.4467868164,2.9359283716
30463,1,1,9257.1316022716,65.6534156189
142,2,2,1464788.73239437,28169.014084507
50715,2,2,6270.3342206448,78.8721285616
3,2,0,12333333.3333333,666666.666666667
216,2,2,944444.444444444,18518.5185185185
74,2,2,4378378.37837838,54054.0540540541
349323,10,5,5768.3003981988,42.9402014754
209,2,2,1339712.91866029,19138.7559808612
29,1,1,0.0,68965.5172413793
383,3,1,127937.336814621,10443.864229765
91253,4,2,4208.0808302193,65.7512629722
3,2,0,4000000.0,666666.666666667
62219364,56,59,1510.2533031357,1.8482991887
5902453,7,4,78.2725419415,1.863631951
7911,1,1,0.0,252.812539502
704322,18,14,17685.0928978507,45.4337646701
6020927,7,4,358.9148315533,1.8269611972
49316,4,2,7543.1908508395,121.6643685619
2295,2,0,5228.7581699346,871.4596949891
48775,1,1,3321.3736545361,41.004613019
202,2,2,1603960.3960396,19801.9801980198
69,1,1,0.0,28985.5072463768
5413987,10,5,650.9066238984,2.7706014071
5006658,5,1,33.7550517731,1.198404205
93,1,1,0.0,21505.376344086
169,2,2,1254437.86982249,23668.6390532544
47822,2,2,7444.27251056,83.6435113546
60836,2,2,2827.2733250049,65.750542442
198,2,2,1393939.39393939,20202.0202020202
60262,1,1,3468.1889084332,33.188410607
30637,1,1,7964.2262623625,65.2805431341
119108,2,2,4617.657923901,33.5829667193
156310,10,5,13114.9638538801,95.9631501503
119999877,17,14,25.6583596332,0.2583335981
115497401,22,19,50.6591485985,0.3549863429
62156,2,2,2928.1163524036,64.3542055473
6829961,11,7,1048.468651578,2.6354469667
170,2,2,941176.470588235,23529.4117647059
37755,1,1,6515.6932856575,52.9731161436
17,1,1,705882.352941177,117647.058823529
589,1,1,269949.066213922,3395.5857385399
24428,2,2,11789.7494678238,163.7465203864
278,2,2,942446.043165468,14388.4892086331
116112230,20,16,18.4993432647,0.3100448592
23826,2,2,10408.7971123982,167.8838243935
3,2,0,4000000.0,666666.666666667
181,2,2,1480662.98342541,22099.4475138122
3,2,0,4000000.0,666666.666666667
56602,2,2,5724.1793576199,70.6688809583
9491241,7,3,426.8145756703,1.0536030009
91,1,1,0.0,21978.021978022
3,2,0,10333333.3333333,666666.666666667
86485,1,1,2347.2278429786,23.1253974678
622,3,0,49839.2282958199,4823.1511254019
153,2,4,0.0,39215.6862745098
22537006,6,6,101.2113144044,0.5324575944
43,1,1,279069.76744186,46511.6279069767
2999991,3,0,50.0001500005,1.000003
120,1,1,0.0,16666.6666666667
153,2,2,1124183.00653595,26143.7908496732
739,2,2,4470906.63058187,5412.7198917456
172,2,2,1976744.18604651,23255.8139534884
388,2,2,530927.835051546,10309.2783505155
115457236,26,30,173.4841461128,0.485028067
1174,9,6,5500851.78875639,12776.8313458262
31073,2,2,14803.8490007402,128.7291217456
1567131,3,3,11.4859574598,3.8286524866
64057448,2,0,1.1552130519,0.0312219744
61595,2,2,8637.0646968098,64.9403360662
45,1,1,0.0,44444.4444444444
1,2,0,12000000.0,2000000.0
280,3,1,64285.7142857143,14285.7142857143
168,2,2,1333333.33333333,23809.5238095238
51,1,1,0.0,39215.6862745098
5295881,7,4,147.4731022091,2.0770859466
66050530,10,9,73.398351232,0.2876585547
61795188,18,17,163.9124392663,0.5663871433
219072,9,9,17756.719252118,82.1647677476
5876073,3,1,0.0,0.6807267371
5437439,7,4,143.6337952481,2.0230112007
43192,1,1,0.0,46.3048712725
61401,1,1,7117.1479291868,32.5727594013
5637353,3,1,0.0,0.7095528699
62719,1,1,4751.3512651669,31.8882635246
46848,2,2,6830.6010928962,85.3825136612
371969,3,4,7242.53902879,18.8187725321
3,2,0,12333333.3333333,666666.666666667
85033,2,2,6538.6379405643,47.0405607235
5275370,10,6,775.1115087662,3.0329626168
75,2,1,0.0,40000.0
124362,1,1,1970.0551615445,16.0820829514
46361,2,0,129.4191238325,43.1397079442
247,2,2,898785.425101215,16194.3319838057
263881,6,6,15681.3108939257,45.475043675
61049,2,2,4258.8740192305,65.5211387574
118038883,21,21,90.614208879,0.3558149563
60425,1,1,4071.1625982623,33.0988829127
3,2,0,12333333.3333333,666666.666666667
91053,4,2,6699.3948579399,65.8956871273
40694,1,1,294.8837666486,49.1472944414
299,2,2,836120.401337793,13377.9264214047
30891,1,1,3819.8828137645,64.7437765045
309,2,2,932038.834951456,12944.9838187702
140,2,2,1114285.71428571,28571.4285714286
3,2,0,0.0,666666.666666667
181303,5,3,5493.5660193157,44.1250282676
56807302,33,43,1360.1420465278,1.3378561791
87511873,2,2,3.3481171178,0.0457080835
180378,2,3,99.7904400758,27.7195666877
25678,2,2,12773.5804969234,155.7753719137
48334,1,1,3475.8141267017,41.3787396036
53,1,1,0.0,37735.8490566038
244,2,2,1327868.85245902,16393.4426229508
186,2,2,1741935.48387097,21505.376344086
48,2,0,770833.333333333,41666.6666666667
79,2,0,151898.734177215,25316.4556962025
3858880,5,1,46.9048013932,1.5548552948
135023,2,2,1214.6078816202,29.6245824785
65177784,105,200,4151.7674181743,4.6795085884
95204,1,1,2447.3761606655,21.0075206924
181830,1,1,560.9635373701,10.9992850465
218,2,2,1981651.37614679,18348.623853211
249,2,2,1236947.79116466,16064.2570281125
165,2,2,1818181.81818182,24242.4242424242
5887694,9,6,725.9208783609,2.5476867514
23,13,0,133956521.73913,565217.391304348
115935475,17,15,17.380357479,0.2760156026
2288240,9,7,1928.5564451281,6.9922735377
119550298,96,91,921.2607734361,1.5641951808
61402,2,2,10553.4021693104,65.1444578352
72,1,1,0.0,27777.7777777778
210,2,1,204761.904761905,14285.7142857143
397,1,1,418136.020151133,5037.7833753149
30805,1,1,4155.1696153222,64.9245252394
2772852,6,5,162.6484211923,3.9670346632
5889213,3,1,2.0376237029,0.679207901
165,2,2,1757575.75757576,24242.4242424242
5070492,5,1,31.1606842097,1.1833171219
31893,4,2,11726.7111905434,188.1290565328
358930,42,64,232975.789151088,295.3222076728
75,2,1,0.0,40000.0
216,2,2,1453703.7037037,18518.5185185185
179,2,2,2480446.9273743,22346.3687150838
47843,1,1,2382.7937211295,41.8033986163
24290,2,2,22725.401399753,164.6768217373
30799,1,1,3831.293223806,64.9371732848
115849378,16,15,13.4226011986,0.2675888342
30280103,22,24,985.6967791688,1.5191493899
50,1,1,0.0,40000.0
23825,2,2,23756.5582371459,167.8908709339
77600271,15,15,81.7265187128,0.386596588
346,2,2,728323.699421965,11560.6936416185
302,2,2,1715231.78807947,13245.0331125828
212,2,1,174528.301886792,14150.9433962264
8234,2,0,1457.3718727229,242.8953121205
28,1,1,0.0,71428.5714285714
10156494,9,10,1115.2470527724,1.8707242873
108381,10,15,248669.047157712,230.667736965
6168331,15,14,709.4301521757,4.7014338238
2,2,0,15500000.0,1000000.0
30254,1,1,3173.134131024,66.106961063
83,2,1,0.0,36144.578313253
115165,5,3,7979.8549906656,69.4655494291
110777,10,7,48259.115159284,153.461458606
172,2,2,1744186.04651163,23255.8139534884
36164,2,0,165.9108505696,55.3036168565
47796,4,2,8661.812703992,125.5335174492
47341,1,1,4140.1744787816,42.2466783549
63522,2,2,4785.7435219294,62.9703094991
118231000,30,36,366.5705271883,0.5582292292
208,2,2,2528846.15384615,19230.7692307692
55,1,1,218181.818181818,36363.6363636364
21,1,1,0.0,95238.0952380952
210,2,2,2114285.71428571,19047.619047619
64,2,0,187500.0,31250.0
22,1,1,0.0,90909.0909090909
115471557,22,18,55.7799701272,0.3464056521
53,1,1,0.0,37735.8490566038
284,2,2,1500000.0,14084.5070422535
63,1,1,0.0,31746.0317460317
85347060,11,9,1.6755117282,0.2343373046
104462,4,2,3369.6463785874,57.4371541805
1433556,6,2,344.5976299496,5.5805284202
60333,2,2,4906.1044536158,66.2987088326
260,2,2,2800000.0,15384.6153846154
30609,1,1,4541.1480283577,65.3402594008
36924,1,1,2599.935001625,54.1653125339
49400727,11,7,62.5699293859,0.3643671074
591571,52,78,239766.655228197,219.7538418888
187,2,2,1005347.59358289,21390.3743315508
272,2,2,1764705.88235294,14705.8823529412
49,1,1,244897.959183673,40816.3265306122
129887,10,5,18462.2017599914,115.4849984987
193,2,2,1761658.03108808,20725.3886010363
235,2,2,1378723.40425532,17021.2765957447
148,2,2,1486486.48648649,27027.027027027
215,2,1,200000.0,13953.488372093
30487,1,1,4198.5108406862,65.6017318857
78370,1,1,3432.435881077,25.519969376
3,2,0,10333333.3333333,666666.666666667
23471,1,1,5751.7787908483,85.2115376422
5932862,5,1,26.631329028,1.0113162922
149,2,2,1557046.97986577,26845.6375838926
60850,2,0,197.2062448644,32.8677074774
1774,3,0,10146.5614430665,1691.0935738444
209,1,1,0.0,9569.3779904306
103345813,2,2,3.8124427934,0.038705003
52070,4,2,7182.6387555214,115.2294987517
28363,1,1,3384.6913232028,70.5144025667
55,1,1,218181.818181818,36363.6363636364
239059,2,2,1815.4514157593,16.732271113
240,2,2,791666.666666667,16666.6666666667
6094615,8,6,72.8511973275,2.2971098256
3,2,0,28000000.0,666666.666666667
113,1,1,0.0,17699.1150442478
57,1,1,210526.315789474,35087.7192982456
5615211,7,4,140.5111936132,1.9589646765
4,2,0,9250000.0,500000.0
136,2,2,1529411.76470588,29411.7647058824
847,2,0,0.0,2361.2750885478
168,1,1,0.0,11904.7619047619
5156714,9,7,1340.3884721937,3.102751093
201,2,1,213930.348258706,14925.3731343284
71738179,22,19,251.2330289287,0.5715227313
596223,1,1,177.7858284568,3.3544495935
138,2,2,1594202.89855072,28985.5072463768
115430057,20,18,45.5773837138,0.3292036839
34,1,1,352941.176470588,58823.5294117647
46179618,2,2,7.2975917644,0.0866182999
195,2,2,2748717.94871795,20512.8205128205
51032,2,2,4663.7403981815,78.3821915661
71,1,3,253521.126760563,56338.0281690141
51865,1,1,3316.3019377229,38.5616504386
1,2,0,12000000.0,2000000.0
3180,2,0,3773.5849056604,628.9308176101
3,1,1,14333333.3333333,666666.666666667
3,2,0,0.0,666666.666666667
5999279,4,2,0.0,1.0001201811
91607,2,2,4475.6405078215,43.6647854422
23941,1,1,13700.3466856021,83.5386993025
23536,2,2,18014.9558123725,169.9524133243
52759,1,1,0.0,37.9082241892
111642949,23,29,36.0793049277,0.4657705701
47149,2,2,4878.1522407686,84.8374302742
293128,7,6,3455.8281706285,44.3492262766
4,2,0,9250000.0,500000.0
23119,1,1,7093.7324278732,86.5089320472
921121,2,2,236.6681467473,4.3425348027
4012822,2,2,115.8785513038,0.9968047424
32400,2,0,370.3703703704,61.7283950617
3,2,0,12333333.3333333,666666.666666667
62063,1,1,3093.630665614,32.2253194335
22911,1,1,0.0,87.2943127755
490,1,1,326530.612244898,4081.6326530612
297,2,2,1360269.36026936,13468.0134680135
33019,4,2,11569.0965807565,181.7135588601
206501,14,12,30881.2063864098,125.9073805938
115447652,22,20,71.3916641631,0.3638012491
4,2,0,7750000.0,500000.0
1,2,0,0.0,2000000.0
23972,2,2,18187.8858668447,166.8613382279
61795942,24,14,313.7584665349,0.6149271096
19184,2,0,625.5212677231,104.2535446205
23801,2,2,14369.144153607,168.0601655393
5049723,4,4,251.3009129412,1.584245314
132558,20,24,4541.4082892017,331.9301739616
46,1,1,260869.565217391,43478.2608695652
50551,4,4,12502.2254752626,158.2560186742
64056837,2,0,1.1552240708,0.0312222722
37285,1,1,2842.9663403514,53.6408743463
407265,10,6,5576.221870281,39.2864596761
87,2,1,0.0,34482.7586206897
3000061,3,0,49.998983354,0.9999796671
72,3,0,680555.555555556,41666.6666666667
30889,1,1,4305.7399074104,64.7479685325
63,1,1,0.0,31746.0317460317
50,1,1,0.0,40000.0
238673,2,1,50.2779954163,12.5694988541
511,1,1,422700.587084149,3913.8943248532
517,2,0,23210.83172147,3868.4719535783
14733308,4,4,46.8326597123,0.542987359
37932018,42,71,2251.5016206098,2.979013666
66825,3,4,40344.1825664048,104.7512158623
5330520,3,1,2.2511875014,0.7503958338
26,1,1,461538.461538462,76923.0769230769
5909572,8,5,558.416074802,2.1998209007
23297,1,1,5580.1176117097,85.8479632571
3,2,0,12333333.3333333,666666.666666667
4,2,0,0.0,500000.0
28,1,1,428571.428571429,71428.5714285714
116,2,2,5620689.65517241,34482.7586206897
1120193,20,27,30951.8091971651,41.9570556145
5423920,9,5,637.9150134958,2.5811590141
73,1,1,0.0,27397.2602739726
53943,2,2,9306.1194223532,74.1523459948
55218,5,3,21387.9532036655,144.8802926582
47382,2,2,8948.5458612975,84.4202439745
335088,11,7,4509.2632383135,53.7172324882
47552,4,2,11734.5222072678,126.1776581427
109477,2,2,4932.5429085561,36.5373548782
332408,13,8,13820.3653341677,63.1753748406
116037866,20,16,18.2095730716,0.3102435545
64064183,2,0,1.1550916056,0.031218692
177,2,2,2395480.2259887,22598.8700564972
22345,1,1,4296.2631461177,89.5054822108
49,2,1,877551.020408163,61224.4897959184
30719,4,2,13086.3634883948,195.3188580357
40820,2,2,9848.1136697697,97.9911807937
128655,10,5,9265.0888033889,116.590882593
26,1,1,0.0,76923.0769230769
16419,1,1,5846.8847067422,121.8100980571
119787404,24,20,93.4822829953,0.3673174184
62512,2,2,3263.373432301,63.9877143588
31023,1,1,3158.9465880154,64.4682977146
117082056,313,495,6625.1142702858,6.9011429044
6045245,7,4,132.8316718346,1.8196119429
23205,1,1,4912.734324499,86.1883214824
